date,city,race_no,horse_name,actual_rank,ganyan,model_score,is_winner,momentum_5,combo_win_rate,track_win_rate,quantum_chaos,galop_count,galop_speed,hp,weight
18/01/2026,İzmir,1,LUNA DEL CUORE,3,7.8,0.10456371964247524,0,0.7,0.0,0.0,0.26,0,0.0,0,0.0
18/01/2026,İzmir,1,JAPONCAN,4,2.8,0.12467812582939186,0,0.6,0.0,0.0,0.08,0,0.0,0,58.0
18/01/2026,İzmir,1,KHAN OF THE FOREST,5,2.45,0.09631582957098926,0,0.5,0.0,0.0,0.9,0,0.0,0,58.0
18/01/2026,İzmir,1,CHILEAN BRIDE,6,6.85,0.08892750991267166,0,0.4,0.0,0.0,0.72,0,0.0,0,56.0
18/01/2026,İzmir,1,CALL TO WARRIOR,7,7.55,0.07149893515585991,0,0.3,0.0,0.0,0.54,0,0.0,0,0.0
18/01/2026,İzmir,1,KARPATINO,8,6.85,0.08858567032247193,0,0.2,0.0,0.0,0.36,0,0.0,0,58.0
18/01/2026,İzmir,1,POR TI VOLARE,0,0.0,0.09678251633890221,0,1.0,0.0,0.0,0.8,0,0.0,0,58.0
18/01/2026,İzmir,1,HOLY,1,4.45,0.4661806586283385,1,0.9,1.0,1.0,0.2533333333333334,0,0.0,0,56.0
18/01/2026,İzmir,1,HAŞARI,2,5.4,0.09290361137913285,0,0.8,0.0,0.0,0.44,0,0.0,0,0.0
18/01/2026,İzmir,1,LUNA DEL CUORE,3,7.8,0.10456371964247524,0,0.7,0.0,0.0,0.26,0,0.0,0,0.0
18/01/2026,İzmir,1,JAPONCAN,4,2.8,0.12467812582939186,0,0.6,0.0,0.0,0.08,0,0.0,0,58.0
18/01/2026,İzmir,1,KHAN OF THE FOREST,5,2.45,0.09631582957098926,0,0.5,0.0,0.0,0.9,0,0.0,0,58.0
18/01/2026,İzmir,1,CHILEAN BRIDE,6,6.85,0.08892750991267166,0,0.4,0.0,0.0,0.72,0,0.0,0,56.0
18/01/2026,İzmir,1,CALL TO WARRIOR,7,7.55,0.07149893515585991,0,0.3,0.0,0.0,0.54,0,0.0,0,0.0
18/01/2026,İzmir,1,KARPATINO,8,6.85,0.08858567032247193,0,0.2,0.0,0.0,0.36,0,0.0,0,58.0
18/01/2026,İzmir,2,SENSE OF REASON,0,0.0,0.05905851728090992,0,0.76,0.0,0.0,0.3679999999999998,5,0.0,8,51.0
18/01/2026,İzmir,2,DRAGON PULSE,1,1.3,0.4187633748356252,1,0.72,0.7058823529411765,0.65,0.7981960784313725,0,0.0,103,57.0
18/01/2026,İzmir,2,GULAZER,2,22.8,0.06767000990674714,0,0.34,0.0,0.058823529411764705,0.5763137254901961,5,0.0,41,0.0
18/01/2026,İzmir,2,LODATO,3,12.5,0.11038325577342849,0,0.58,0.0,0.09090909090909091,0.967030303030303,5,0.0,49,0.0
18/01/2026,İzmir,2,CASH IS KING,4,6.05,0.1387826015019262,0,0.62,0.09090909090909091,0.14285714285714285,0.12751515151515178,5,0.0,84,0.0
18/01/2026,İzmir,2,BAHİSÇİ,5,16.0,0.10564758248151311,0,0.36,0.0,0.0,0.6479999999999998,5,0.0,50,61.0
18/01/2026,İzmir,2,BIG HONEY,6,30.35,0.06916185003144582,0,0.4,0.0,0.0,0.72,0,0.0,0,55.0
18/01/2026,İzmir,2,DUYARLI,7,17.35,0.10877135856574704,0,0.5599999999999999,0.0,0.15384615384615385,0.8808205128205127,0,0.0,55,0.0
18/01/2026,İzmir,2,HEY JUDE,8,2.6,0.14356747667224193,0,0.64,0.0,0.1,0.0613333333333334,0,0.0,88,59.0
18/01/2026,İzmir,2,SENSE OF REASON,0,0.0,0.05905851728090992,0,0.76,0.0,0.0,0.3679999999999998,5,0.0,8,51.0
18/01/2026,İzmir,2,DRAGON PULSE,1,1.3,0.4187633748356252,1,0.72,0.7058823529411765,0.65,0.7981960784313725,0,0.0,103,57.0
18/01/2026,İzmir,2,GULAZER,2,22.8,0.06767000990674714,0,0.34,0.0,0.058823529411764705,0.5763137254901961,5,0.0,41,0.0
18/01/2026,İzmir,2,LODATO,3,12.5,0.11038325577342849,0,0.58,0.0,0.09090909090909091,0.967030303030303,5,0.0,49,0.0
18/01/2026,İzmir,2,CASH IS KING,4,6.05,0.1387826015019262,0,0.62,0.09090909090909091,0.14285714285714285,0.12751515151515178,5,0.0,84,0.0
18/01/2026,İzmir,2,BAHİSÇİ,5,16.0,0.10564758248151311,0,0.36,0.0,0.0,0.6479999999999998,5,0.0,50,61.0
18/01/2026,İzmir,2,BIG HONEY,6,30.35,0.06916185003144582,0,0.4,0.0,0.0,0.72,0,0.0,0,55.0
18/01/2026,İzmir,2,DUYARLI,7,17.35,0.10877135856574704,0,0.5599999999999999,0.0,0.15384615384615385,0.8808205128205127,0,0.0,55,0.0
18/01/2026,İzmir,2,HEY JUDE,8,2.6,0.14356747667224193,0,0.64,0.0,0.1,0.0613333333333334,0,0.0,88,59.0
18/01/2026,İzmir,2,SENSE OF REASON,0,0.0,0.05905851728090992,0,0.76,0.0,0.0,0.3679999999999998,5,0.0,8,51.0
18/01/2026,İzmir,2,DRAGON PULSE,1,1.3,0.4187633748356252,1,0.72,0.7058823529411765,0.65,0.7981960784313725,0,0.0,103,57.0
18/01/2026,İzmir,2,GULAZER,2,22.8,0.06767000990674714,0,0.34,0.0,0.058823529411764705,0.5763137254901961,5,0.0,41,0.0
18/01/2026,İzmir,2,LODATO,3,12.5,0.11038325577342849,0,0.58,0.0,0.09090909090909091,0.967030303030303,5,0.0,49,0.0
18/01/2026,İzmir,2,CASH IS KING,4,6.05,0.1387826015019262,0,0.62,0.09090909090909091,0.14285714285714285,0.12751515151515178,5,0.0,84,0.0
18/01/2026,İzmir,2,BAHİSÇİ,5,16.0,0.10564758248151311,0,0.36,0.0,0.0,0.6479999999999998,5,0.0,50,61.0
18/01/2026,İzmir,2,BIG HONEY,6,30.35,0.06916185003144582,0,0.4,0.0,0.0,0.72,0,0.0,0,55.0
18/01/2026,İzmir,2,DUYARLI,7,17.35,0.10877135856574704,0,0.5599999999999999,0.0,0.15384615384615385,0.8808205128205127,0,0.0,55,0.0
18/01/2026,İzmir,2,HEY JUDE,8,2.6,0.14356747667224193,0,0.64,0.0,0.1,0.0613333333333334,0,0.0,88,59.0
18/01/2026,İzmir,2,SENSE OF REASON,0,0.0,0.05905851728090992,0,0.76,0.0,0.0,0.3679999999999998,5,0.0,8,51.0
18/01/2026,İzmir,2,DRAGON PULSE,1,1.3,0.4187633748356252,1,0.72,0.7058823529411765,0.65,0.7981960784313725,0,0.0,103,57.0
18/01/2026,İzmir,2,GULAZER,2,22.8,0.06767000990674714,0,0.34,0.0,0.058823529411764705,0.5763137254901961,5,0.0,41,0.0
18/01/2026,İzmir,2,LODATO,3,12.5,0.11038325577342849,0,0.58,0.0,0.09090909090909091,0.967030303030303,5,0.0,49,0.0
18/01/2026,İzmir,2,CASH IS KING,4,6.05,0.1387826015019262,0,0.62,0.09090909090909091,0.14285714285714285,0.12751515151515178,5,0.0,84,0.0
18/01/2026,İzmir,2,BAHİSÇİ,5,16.0,0.10564758248151311,0,0.36,0.0,0.0,0.6479999999999998,5,0.0,50,61.0
18/01/2026,İzmir,2,BIG HONEY,6,30.35,0.06916185003144582,0,0.4,0.0,0.0,0.72,0,0.0,0,55.0
18/01/2026,İzmir,2,DUYARLI,7,17.35,0.10877135856574704,0,0.5599999999999999,0.0,0.15384615384615385,0.8808205128205127,0,0.0,55,0.0
18/01/2026,İzmir,2,HEY JUDE,8,2.6,0.14356747667224193,0,0.64,0.0,0.1,0.0613333333333334,0,0.0,88,59.0
18/01/2026,İzmir,2,SENSE OF REASON,0,0.0,0.05905851728090992,0,0.76,0.0,0.0,0.3679999999999998,5,0.0,8,51.0
18/01/2026,İzmir,2,DRAGON PULSE,1,1.3,0.4187633748356252,1,0.72,0.7058823529411765,0.65,0.7981960784313725,0,0.0,103,57.0
18/01/2026,İzmir,2,GULAZER,2,22.8,0.06767000990674714,0,0.34,0.0,0.058823529411764705,0.5763137254901961,5,0.0,41,0.0
18/01/2026,İzmir,2,LODATO,3,12.5,0.11038325577342849,0,0.58,0.0,0.09090909090909091,0.967030303030303,5,0.0,49,0.0
18/01/2026,İzmir,2,CASH IS KING,4,6.05,0.1387826015019262,0,0.62,0.09090909090909091,0.14285714285714285,0.12751515151515178,5,0.0,84,0.0
18/01/2026,İzmir,2,BAHİSÇİ,5,16.0,0.10564758248151311,0,0.36,0.0,0.0,0.6479999999999998,5,0.0,50,61.0
18/01/2026,İzmir,2,BIG HONEY,6,30.35,0.06916185003144582,0,0.4,0.0,0.0,0.72,0,0.0,0,55.0
18/01/2026,İzmir,2,DUYARLI,7,17.35,0.10877135856574704,0,0.5599999999999999,0.0,0.15384615384615385,0.8808205128205127,0,0.0,55,0.0
18/01/2026,İzmir,2,HEY JUDE,8,2.6,0.14356747667224193,0,0.64,0.0,0.1,0.0613333333333334,0,0.0,88,59.0
18/01/2026,İzmir,2,SENSE OF REASON,0,0.0,0.05905851728090992,0,0.76,0.0,0.0,0.3679999999999998,5,0.0,8,51.0
18/01/2026,İzmir,2,DRAGON PULSE,1,1.3,0.4187633748356252,1,0.72,0.7058823529411765,0.65,0.7981960784313725,0,0.0,103,57.0
18/01/2026,İzmir,2,GULAZER,2,22.8,0.06767000990674714,0,0.34,0.0,0.058823529411764705,0.5763137254901961,5,0.0,41,0.0
18/01/2026,İzmir,2,LODATO,3,12.5,0.11038325577342849,0,0.58,0.0,0.09090909090909091,0.967030303030303,5,0.0,49,0.0
18/01/2026,İzmir,2,CASH IS KING,4,6.05,0.1387826015019262,0,0.62,0.09090909090909091,0.14285714285714285,0.12751515151515178,5,0.0,84,0.0
18/01/2026,İzmir,2,BAHİSÇİ,5,16.0,0.10564758248151311,0,0.36,0.0,0.0,0.6479999999999998,5,0.0,50,61.0
18/01/2026,İzmir,2,BIG HONEY,6,30.35,0.06916185003144582,0,0.4,0.0,0.0,0.72,0,0.0,0,55.0
18/01/2026,İzmir,2,DUYARLI,7,17.35,0.10877135856574704,0,0.5599999999999999,0.0,0.15384615384615385,0.8808205128205127,0,0.0,55,0.0
18/01/2026,İzmir,2,HEY JUDE,8,2.6,0.14356747667224193,0,0.64,0.0,0.1,0.0613333333333334,0,0.0,88,59.0
18/01/2026,İzmir,3,QUEEN TUANA,0,0.0,0.07378392193985224,0,1.0,0.0,0.0,0.8,0,0.0,0,0.0
18/01/2026,İzmir,3,TOLPER,1,1.85,0.3730598958661607,1,0.9,1.0,1.0,0.2533333333333334,0,0.0,0,58.0
18/01/2026,İzmir,3,POP ART,2,5.05,0.12233658733180029,0,0.8,0.0,0.0,0.44,0,0.0,0,56.0
18/01/2026,İzmir,3,RING RANG RONG,3,14.05,0.12251466189456578,0,0.7,0.0,0.0,0.26,0,0.0,0,58.0
18/01/2026,İzmir,3,FOOTSTEP,4,3.35,0.10282764767245413,0,0.7333333333333334,0.0,0.0,0.32,0,0.0,0,0.0
18/01/2026,İzmir,3,SKY CHARLIE,5,6.35,0.11269785601198296,0,0.6666666666666666,0.0,0.0,0.2,0,0.0,0,58.0
18/01/2026,İzmir,3,DUBLIN DREAM,6,11.3,0.06755092854764844,0,0.4,0.0,0.0,0.72,0,0.0,0,0.0
18/01/2026,İzmir,3,BAYAN JULIE,7,15.3,0.06697746963629429,0,0.3,0.0,0.0,0.54,0,0.0,0,0.0
18/01/2026,İzmir,3,YOU ARE BIG,8,9.6,0.07771052104326526,0,0.2,0.0,0.0,0.36,0,0.0,0,58.0
18/01/2026,İzmir,3,COME ON BABY,9,14.85,0.053824574093386306,0,0.1,0.0,0.0,0.18,0,0.0,0,0.0
18/01/2026,İzmir,3,QUEEN TUANA,0,0.0,0.07378392193985224,0,1.0,0.0,0.0,0.8,0,0.0,0,0.0
